ID_match,ID,Seg_ID,Seg_ID_match
80,78,4441095X000_2_110_1,4441121I000_2_110_1
80,79,4441121C000_2_110_1,4441121I000_2_110_1
81,82,5081007X000_2_150_1,5081006X000_2_150_1
82,81,5081006X000_2_150_1,5081007X000_2_150_1
82,83,5081009X000_2_150_1,5081007X000_2_150_1
82,84,5081026X000_2_150_1,5081007X000_2_150_1
83,82,5081007X000_2_150_1,5081009X000_2_150_1
83,84,5081026X000_2_150_1,5081009X000_2_150_1
84,82,5081007X000_2_150_1,5081026X000_2_150_1
84,83,5081009X000_2_150_1,5081026X000_2_150_1
85,86,I10_2_8_1,I10_2_11_1
86,85,I10_2_11_1,I10_2_8_1
87,88,I1_2_112_2,I1_2_112_1
87,162,S1_2_112_2,I1_2_112_1
87,176,S9_2_112_1,I1_2_112_1
88,87,I1_2_112_1,I1_2_112_2
88,92,I1_2_20_2,I1_2_112_2
88,161,S1_2_112_1,I1_2_112_2
88,162,S1_2_112_2,I1_2_112_2
88,165,S22_2_112_1,I1_2_112_2
89,19,136800_2_170_1,I1_2_170_1
89,21,170044_2_170_1,I1_2_170_1
89,90,I1_2_170_2,I1_2_170_1
89,91,I1_2_20_1,I1_2_170_1
89,110,I3_2_170_4,I1_2_170_1
89,150,NA_174_2_170_1,I1_2_170_1
90,89,I1_2_170_1,I1_2_170_2
90,95,I1_2_261_1,I1_2_170_2
91,5,133800_2_20_1,I1_2_20_1
91,6,133899_2_20_1,I1_2_20_1
91,7,133900_2_20_1,I1_2_20_1
91,9,134300_2_20_1,I1_2_20_1
91,11,134341_2_20_1,I1_2_20_1
91,12,134342_2_20_1,I1_2_20_1
91,13,134345S1_2_20_1,I1_2_20_1
91,15,134400_2_20_1,I1_2_20_1
91,16,134431_2_20_1,I1_2_20_1
91,17,134449_2_20_1,I1_2_20_1
91,18,134700_2_20_1,I1_2_20_1
91,39,2281133X000_2_20_1,I1_2_20_1
91,89,I1_2_170_1,I1_2_20_1
91,92,I1_2_20_2,I1_2_20_1
91,93,I1_2_20_3,I1_2_20_1
91,116,IA3_2_20_1,I1_2_20_1
91,117,NA_121_2_20_1,I1_2_20_1
91,118,NA_123_2_20_1,I1_2_20_1
91,164,S1_2_20_1,I1_2_20_1
92,1,132300_2_20_1,I1_2_20_2
92,6,133899_2_20_1,I1_2_20_2
92,9,134300_2_20_1,I1_2_20_2
92,11,134341_2_20_1,I1_2_20_2
92,12,134342_2_20_1,I1_2_20_2
92,13,134345S1_2_20_1,I1_2_20_2
92,14,134350_2_20_1,I1_2_20_2
92,16,134431_2_20_1,I1_2_20_2
92,17,134449_2_20_1,I1_2_20_2
92,39,2281133X000_2_20_1,I1_2_20_2
92,88,I1_2_112_2,I1_2_20_2
92,91,I1_2_20_1,I1_2_20_2
92,93,I1_2_20_3,I1_2_20_2
92,116,IA3_2_20_1,I1_2_20_2
92,164,S1_2_20_1,I1_2_20_2
93,6,133899_2_20_1,I1_2_20_3
93,7,133900_2_20_1,I1_2_20_3
93,9,134300_2_20_1,I1_2_20_3
93,13,134345S1_2_20_1,I1_2_20_3
93,17,134449_2_20_1,I1_2_20_3
93,18,134700_2_20_1,I1_2_20_3
93,40,2281216I000_2_20_1,I1_2_20_3
93,91,I1_2_20_1,I1_2_20_3
93,92,I1_2_20_2,I1_2_20_3
93,116,IA3_2_20_1,I1_2_20_3
93,164,S1_2_20_1,I1_2_20_3
94,98,I1_2_261_4,I1_2_240_1
94,102,I2_2_240_3,I1_2_240_1
95,90,I1_2_170_2,I1_2_261_1
95,96,I1_2_261_2,I1_2_261_1
96,95,I1_2_261_1,I1_2_261_2
96,97,I1_2_261_3,I1_2_261_2
96,173,S4_2_261_3,I1_2_261_2
96,174,S4_2_261_4,I1_2_261_2
97,96,I1_2_261_2,I1_2_261_3
97,98,I1_2_261_4,I1_2_261_3
98,94,I1_2_240_1,I1_2_261_4
98,97,I1_2_261_3,I1_2_261_4
99,43,294000_2_280_1,I1_2_280_1
99,44,294020_2_280_1,I1_2_280_1
100,101,I2_2_240_2,I2_2_240_1
