"","Seg_ID","SIGN1","STFIPS","NEVI","Has_EV","No_Tesla","Traffic","Short_Road","LENGTH","ID","AFC"
"196","013-0-2013-1195_8_13_1","013-0-2013-1195",8,0,1,1,31000,TRUE,0.816218805096419,196,FALSE
"197","013-0-2013-1558_8_13_1","013-0-2013-1558",8,0,1,1,19500,TRUE,3.29775685153194,197,FALSE
"198","013-0-2013-2765_8_13_1","013-0-2013-2765",8,0,1,1,21000,TRUE,0.941363704898556,198,FALSE
"199","013-0-2013-4414_8_13_1","013-0-2013-4414",8,0,1,1,20750,TRUE,2.52749834567301,199,FALSE
"200","013-08-2-010_22_105_1","013-08-2-010",22,0,1,1,14600,TRUE,0.728440111091881,200,FALSE
"201","013-09-2-010_22_105_1","013-09-2-010",22,0,0,0,9175,TRUE,0.987924301473825,201,FALSE
"202","01340AIN015_16_5_1","01340AIN015",16,0,0,0,1120,TRUE,0.949761623025665,202,FALSE
"203","01360AIN015_16_5_1","01360AIN015",16,0,1,0,9884.21052631579,TRUE,2.65644416883209,203,FALSE
"204","01360DIN015_16_5_1","01360DIN015",16,0,1,0,6103.7037037037,TRUE,3.06119008881971,204,FALSE
"205","01370DIN015_16_11_1","01370DIN015",16,0,0,0,6733.33333333333,TRUE,0.558405755744091,205,FALSE
"206","01380AIN015_16_19_1","01380AIN015",16,0,1,1,9700,TRUE,1.03725803152874,206,FALSE
"207","014Q100000i_53_11_1","014Q100000i",53,0,1,1,5832,TRUE,0.153545951507425,207,TRUE
"208","0150109_9_1_1","0150109",9,0,1,1,2900,TRUE,0.260032786311661,208,TRUE
"209","0150588_9_1_1","0150588",9,0,1,1,1700,TRUE,0.0535640994825553,209,TRUE
"210","0150606_9_1_1","0150606",9,0,1,1,3700,TRUE,0.124377798241747,210,TRUE
"211","0150806_9_1_1","0150806",9,0,1,1,6200,TRUE,0.13953539337012,211,TRUE
"212","0150807_9_1_1","0150807",9,0,1,1,6100,TRUE,0.252497793692415,212,TRUE
"213","0151079_9_1_1","0151079",9,1,1,1,18871.4285714286,TRUE,3.21651945258883,213,FALSE
"214","0151098_9_1_1","0151098",9,0,1,1,7200,TRUE,0.226762390641742,214,FALSE
