county,Baseline coverage,NEVI.coverage,AFC.coverage
06111,0.8838910349159909,0.7809174195664413,0.9918661567029466
06113,0.9551620302011857,0.781348405197685,0.9926914012760164
06115,0.9425286270483731,0.7610080448045046,0.9913809119396069
08001,0.2597277834345439,0.23638620028019663,0.8626095946417671
08003,0.22957390024822028,0.005705671409730843,0.9140842515244127
08005,0.2467481309430261,0.23122065001901548,0.872839436810261
08007,0.020469672383206884,0.010713288911307337,0.917671904873415
08009,0.003979706897861945,0.0028188199403963903,0.8875008397382154
08011,0.15998303624461235,0.1276655349580588,0.8989162508789944
08013,0.2710397156510756,0.2480123942317981,0.8649877327357258
08014,0.26773476876405505,0.24395994897344003,0.8658592361824802
08015,0.2627894795499862,0.19963650958346876,0.8957921870967924
08017,0.1804702823177438,0.007461952135833616,0.8341977527952678
08019,0.28405814487482545,0.26240001932862445,0.8572000754288531
08021,0.02944659897865244,0.00718966376474622,0.914917362329659
08023,0.23731450166630796,0.17500685603620428,0.9024665727757932
08025,0.19507927329109417,0.15436856885289926,0.8834114107612342
08027,0.2359826393305501,0.1808361984434617,0.9023816339918727
08029,0.24387994865047138,0.02575882711641785,0.932329962480886
08031,0.256434651011804,0.23363542070652893,0.8669629017443895
08033,0.023266870388544667,0.00971522001081146,0.9416755549680185
08035,0.24547166943876536,0.2295926816532389,0.8845593646444992
08037,0.30048308373656984,0.2602526470941852,0.8757629049126522
08039,0.23577196612057602,0.2063561303963213,0.8759259977041463
08041,0.22953139755254431,0.1870417730726039,0.8681483626695382
08043,0.24879733510723687,0.19219840092810572,0.8692172747540684
08045,0.26666794195588056,0.023892240939907473,0.9234279791079075
08047,0.27860092987778584,0.2573588918463103,0.8618759419463994
08049,0.29618625370996104,0.26451636256043987,0.8624702654460724
08051,0.22585605295205555,0.014902921758130324,0.9109833199358615
08053,0.022024493474431292,0.010119344656738997,0.9178276136863858
08055,0.2256711137913262,0.17145437462792262,0.8935619565462805
08057,0.31610258668212754,0.0037528308632336404,0.8586161371435106
08059,0.260382807799377,0.239515068995905,0.8549067886805091
08061,0.16484144745756996,0.13532454808240968,0.8840854882695441
08063,0.19121595608710928,0.0067032858723703286,0.8366103140004036
08065,0.27523700187345385,0.2320753593341611,0.8877842162463729
08067,0.025177200654514457,0.01548227959371446,0.9348415265720612
08069,0.27536514575801974,0.23522195703315357,0.8633393357615
08071,0.20709908003513952,0.15643797871262766,0.8908196358853087
08073,0.19724217487739656,0.1669659463766418,0.8745280883362648
08075,0.21603523909875946,0.03153745432113725,0.8682778340612584
08077,0.2557129110546882,0.02775537488207377,0.9393709716880927
08079,0.019447116503625773,0.009188089195166938,0.9135836938941763
08081,0.31699327109154674,0.00517685149713325,0.8990166739201746
08083,0.026328252048539214,0.014232223144870151,0.9374027237680517
08085,0.01820017020929404,0.011779739863552427,0.929029271218493
08087,0.21573352246473257,0.1840874150034667,0.865381778953071
08089,0.18003205312482887,0.14307295104404574,0.8891477899594706
08091,0.01883799847497994,0.012431786694492079,0.9273647545048964
08093,0.2837243390770381,0.24764372127060102,0.8680017586916957
08095,0.019128743927350977,0.01205935704269984,0.844776363429048
08097,0.2474179801101113,0.018423458178118742,0.9138624291814549
08099,0.15045483775708451,0.1203210616582436,0.8900605930442121
08101,0.22239722451817087,0.18142073387923166,0.8818032837730557
08103,0.27098858961148103,0.023951272503176396,0.9206716702784108
08105,0.019147435144407886,0.005782450308655739,0.9217058254877516
08107,0.3174803033265171,0.004214742945123051,0.8771426745202091
08109,0.23269633312689683,0.008885624988397787,0.9126193313971958
08111,0.01873470137948322,0.011872870719251924,0.9176849292602821
08113,0.01891457625986438,0.013934850465704638,0.929711289871908
08115,0.019008926428927195,0.011727891045957181,0.8369692988054463
08117,0.2912822074074528,0.24997453107532977,0.8759407230355821
08119,0.24718674902250395,0.2021481732490765,0.8789331920295718
08121,0.19635283365129594,0.00888046697996985,0.8704336135788544
08123,0.2655171778806004,0.2288704977782061,0.8638100307874743
08125,0.18881968013864994,0.00577560292473361,0.8520522082423091
09001,0.6970506402102489,0.25553982493693356,0.947868196095308
09003,0.7695528926814156,0.3727856543570639,0.9647659395923851
09005,0.7360026922047126,0.3581021176362146,0.9485477655426586
09007,0.7645378385033816,0.34995071478543277,0.9625977365096927
09009,0.7330219098312838,0.3412542128616222,0.9636082201295749
09011,0.7825906087136738,0.3599843378981484,0.9660049508606869
09013,0.7812389196852365,0.3765251359749336,0.9672686802621654
09015,0.7927189567408652,0.3637199523406615,0.9692424960015025
10001,0.51932144375015,0.18007886804853457,0.9510670528206963
10003,0.5261816856644085,0.3396643564864643,0.9519792129198252
